URL;ID;Titulo;Data Reclamação;Local do reclamante;reclamacao_completa;Status;Consideracao_Final;Problema;Produto;Categoria;Nota;Voltaria fazer Negocio
https://www.reclameaqui.com.br/uber-eats/cobranca-de-lanche-que-nao-entregaram_rWbgTUbQ77XUMajP/;129599925;Cobranca de lanche que nao entregaram;14/09/2021 às 12:12;Aparecida de Goiânia - GO;Ontem dia 13/09/2021 eu solicitei um lanche e foi debitado o valor se 25,44 referente ao lanche mas quando fui em pedidos feitos aparecia como se não tivesse sido realizado o pedido e o pedido permanecia no carrinho. Tentei prosseguir com o pedido e apareceu que o cartão estava inválido e não poderia realizar o pedido mas mesmo assim debitaram o valor do referido pedido da minha conta, tentei entrar em contato mas não há opções para essa reclamação no canal da Uber eats;Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/reembolso_J4YIMr3qSdwiRPgc/;129599859;Reembolso;14/09/2021 às 12:11;Osasco - SP;"Fiz um pedido e ele foi cancelado, fiquei mais de 1h esperando o pedido e cancelaram sem nenhuma justificativa, fiz o pagamento no debito e ate agora não tive meu estorno ja fiz duas reclamações, e sem sucesso, mandam entrar em contato com meu banco ja entrei e nada tambem quero meu estorno, não vou deixar mais de 100,00 com eles e ficar sem pedido tambem. Tenho foto do cancelamento e do meu extrato onde mostra a cobrança

No mesmo dia tive o mesmo problema com o Ifood e recebi o estorno porem com o uber eats não houve estorno, e nem recebi o pedido.

Primeiro fiz o pedido no uber eats como cancelaram pedi pelo ifood e cancelaram tambem porem devolveram o dinheiro pelo ifood.";Não respondida;Sem considerações finais;Estorno do valor pago;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/pagamento-por-indicar-notorista_2mcxKuuaiJEg2cFE/;129598205;Pagamento por indicar notorista.;14/09/2021 às 11:51;Governador Valadares - MG;Indiquei a aproximadamente um motorista para o aplicativo e não recebi nada por isso fiz com meu número de código tudo correto e hoje o motorista foi a eito e eu não recebi nada. Peço que me deem resposta urgente.;Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/muitos-erros-restaurantes-que-nao-atende-e-cobrancas-indevidas_Siog3CdWs6GiCHZS/;129598203;Muitos erros, restaurantes que nao atende e cobrancas indevidas.;14/09/2021 às 11:51;São Paulo - SP;"Ontem na parte do almoço solicitei o pedido de batata fritas paguei, depois de mais de 1 hora esperando o entregador disse que o restaurante já estava sem atender 3 meses , Olha o absurdo 3 meses já parado e o uber mantem ele la no catalogo depois tive que ligar la para eles cancelar o pedido e devolver meu dinheiro, ou seja se vc trabalha, vc tem q largar tudo porque a unica forma de resolver é ligando.

De noite na janta fiz o pedido numero do pedido""B1B12"" de 3 pizza para pagamento com saldo UBER no qual tinha 83,99 reias o total da compra deu 68,17 , paguei tudo certo, comi e quando foi hoje de manhã recebo a msg "" N foi possivel processar o pagamento por falta de saldo"" ( Como q nao tem saldo se eu tenho 83.99 e a compra deu 68,17 e já havia pago ) Paguei com saldo uber eats pois tenho credito la, se fosse outra forma nem teria comprado nada. ABSURDO dor de cabeça e muita burocracia mais uma vez tem que parar de trabalhar pra ligar lá pra resolver isso, No ifood não acontece essas coisas só nesse UBER eats que contrata pessoas sem capacidade para trabalhar, deve ser um povo que fica dormindo no trabalho, trabalho mto mal feito.

2 erros no mesmo dia, FICA A dica quer dor de cabeça comprem no UBER eats com certeza vai acontecer algum erro e pra resolver só ligando lá BUROCRACIA TOTAL

PESSIMO APP";Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cadastro_ni3u6MwWtfZPZrNX/;129597477;Cadastro;14/09/2021 às 11:43;São Paulo - SP;"Bom dia Prezados.

Estava fazendo meu cadastro na uber eats como entregador porém sem querer coloquei a opção de entrega de motocicleta e gostaria de colocar de bicicleta e não consigo volta na página anterior agora só fica pedindo minha CNH, mas gostaria de voltar para a página anterior.
Desde já agradeço";Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/hamburguer-podre-pao-duro-e-refrigerante-nao-foi-entregue_5WPEcHYTszM9Vofa/;129594893;Hamburguer podre, pao duro e refrigerante nao foi entregue;14/09/2021 às 11:14;Poá - SP;"Comprei no Burger king o pedido número: F4F8b. Eu pedi 2 whooper as carnes vieram podre, o pão duro, o tomate estragado, péssimo!!!! O refrigerante não veio, gastei 47 reais em uma coisa que nem o cachorro comeu!!! Quero meu estorno imediatamente se não vou chamar a vigilância sanitária. Foi na unidade de Ferraz de Vasconcelos
Pedido F4F8B";Não respondida;Sem considerações finais;Qualidade do serviço;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/uso-indevido-da-minha-conta_i8n5yYrBcKjYpW3K/;129593629;Uso indevido da minha conta;14/09/2021 às 10:59;São Paulo - SP;"Verifiquei que estão utilizando minha conta UberEats sem minha autorização. Gostaria que verificassem isso. Não consigo alterar a senha.

Aguardo retorno.";Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/reembolso_UEstcTUiuNtFPkMY/;129591547;Reembolso;14/09/2021 às 10:37;São Bernardo do Campo - SP;Realizei um compra no dia 11/09 no restaurante Sushi já sushi por 1 real realizei o pedido as 20:34 aguardei até as 22:00 e nada do pedido chegar realizei o cancelamento do pedido pois não chegou, apareceram 3 parceiros para realizar a entrega e nada, mandei msg para o segundo motoboy não me respondeu, o terceiro me respondeu informou que estava na porta do estabelecimento aguardando o pedido ser finalizado, porem ja havia aparecido 3 vezes que o pedido já estava finalizado, resumindo realizei o cancelamento porém o valor foi descontado no débito automático e até o momento não realizaram o reembolso do meu dinheiro, solicito o reembolso pois o dinheiro foi descontado na mesma hora e não aceito prazo de 10 dias isso e uma palhaçada;Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/foi-debitado-do-meu-cartao-um-pedido-inexistente_a7tcRwzl7LFBIB-o/;129590779;Foi debitado do meu cartao um pedido inexistente;14/09/2021 às 10:28;São Paulo - SP;Fiz um pedido no Uber Eats no valor de 29,49 e o mesmo foi debitado do meu cartão, porém recebi a seguinte mensagem ocorreu um erro tente outra forma de pagamento mas quando fui conferir o extrato tinha sido debitado mas não gerou o pedido... Resumindo paguei mas não recebi o pedido e já fiz várias reclamações pelo aplicativo do campo ajuda e já liguei no 0800 e até agora não foi estornado o meu valor!Atenção eles me falaram que é uma cobrança eletrônica para testar o cartão depois é estornado, grande absurdo mostra que não é uma empresa de confiança espero que resolvam o meu problema fora o transtorno que passei espero que resolvam o meu problema!;Não respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobranca-triplicada-de-um-produto-que-nao-comprei_mHQQJRLDXM_GMiys/;129589995;Cobranca triplicada de um produto que nao comprei;14/09/2021 às 10:20;São Paulo - SP;Foi realizado uma compra indevida de um produto que não comprei pela uber eats, em vez de ter alguma resposta ou algum suporte referente sobre essas cobrenças só recebo respostas automaticas e que vão entrar em contato comigo e nisso niguem entra em contato, ou quando vão entrar em contato o que está sendo feito, o que está sendo realizado, não pegaram nenhuma infomação sobre o erro nem questionaram ainda sobre a cobrança que foi realizada, preciso de um parecer e que esse dinheiro seja devolvido de volta;Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobraram-meu-pedido-e-foi-cancelado_XRgikFvXcetrIEEa/;129588403;cobraram meu pedido e foi cancelado;14/09/2021 às 10:01;São Caetano do Sul - SP;fiz um pedido pelo uber eats ontem, e MAIS UMA VEZ, eles fizeram a cobrança por PIX e o pedido ficou processando o pagamento por um tempão, até que foi cancelado, o pedido sumiu e o estorno não ocorreu até agora! Já é a segunda vez em uma semana! Nunca mais uso esse app.;Não respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/validade-de-documentos_4jbAxc44qkptoQXi/;129587177;Validade de documentos;14/09/2021 às 09:45;São Paulo - SP;Toda hora pede pra eu enviar foto da frente e verso do meu RG e um comprovante de CPF mais eu envio mais passa 2 minuto e pede novamente não sei o que tá acontecendo;Não respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/pedido-faltando-item_6sGkD37sARITQ2p3/;129587137;Pedido Faltando Item;14/09/2021 às 09:45;Rio de Janeiro - RJ;Realizei um pedido no dia de ontem, 13/09/2021, no restaurante Sushi Now e veio faltando um temaki. Mesmo após abertura de diversos chamados no aplicativo da Uber Eats, nenhum contato foi feito e nenhum valor foi estornado referente ao item pago e não entregue. Total falta de respeito com o cliente. Além de não ter recebido o que havia pedido ainda paguei por este item. Ademais, não localizei outra forma de contato com a emprese senão através do informe no próprio pedido, não havia sequer um campo onde pudesse escrever o que ocorreu. Além disso, as peças vieram bagunçadas e desmontadas, total falta de respeito com o cliente.;Não respondida;Sem considerações finais;Produto com defeito;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/desconto-nao-e-computado_Hlb9fI3lupe3gFzS/;129581709;Desconto nao e com [Editado pelo Reclame Aqui] do;14/09/2021 às 08:10;Rio de Janeiro - RJ;"Faço uso do aplicativo Uber Eats com frequência em que grande parte dos meus pedidos são realizados no restaurante refeitório orgânico - rj, nesse existe um programa de vantagens digital que se for gasto 100 reais em pedido ganha-se 30 reais de desconto, pois bem, o problema é que eu já fiz muito mais de 100 reais em pedidos e sempre que o pedido chega a 100 reais ele zera novamente sem me dar o desconto. Já aconteceu esse episódio por 3 vezes então venho por meio desse exigir explicações do aplicativo, afinal já era para eu ter tido 90 reais de desconto e no momento novamente a barrinha diminiu para gaste 92 reais e ganhe 30 em desconto...

E não, eu não deixei passar o tempo estipulado que segundo o aplicativo é de 90 dias após recebido, meu último pedido no restaurante foi no dia 12/09 no valor de 44,09 reais, em que junto com outros pedidos completaria a barrinha e me daria um desconto de 30 reais, então como assim faltam 92 reais???";Não respondida;Sem considerações finais;Propaganda enganosa;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobranca-indevida_EHBNjNb5lcxWdeRh/;129581449;Cobranca indevida;14/09/2021 às 08:01;São Roque - SP;Percebi uma cobrança indevida na minha fatura do cartão e quando entrei no App nao havia nenhum pedido feito. Gostaria de saber como posso proceder uma vez em que a fatura já foi fechada e eu não reconheço a compra, sem contar no valor que é alto.;Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobranca-duplicada_zOfiYQWpPok5F9Fe/;129578417;Cobranca duplicada;14/09/2021 às 01:46;São Paulo - SP;Sou cliente da Uber Eats há anos. Status Platina. Nunca tive o menor problema. Pois bem, hoje fiz dois pedidos, um no valor de 31,96 o outro no valor de 16,19. Quando finalizei o pedido e abriu a aba de pagamento para minha surpresa apareceu uma mensagem dizendo que meu cartão débito não poderia ser aceito sendo que não há nenhum problema com o cartão. Então paguei a de 31,96 com o cartão visa Apple Pay, a outra de 16,19 com cartão de crédito. Acessei meu banco depois e verifiquei que foi cobrado as duas no débito também. Já enviei um e-mail com o extrato do banco provando a cobrança duplicada. Espero providências urgente;Não respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobrou-e-nao-gerou-o-pedido_bhv3sbZ2MeBqDYp5/;129578015;Cobrou e nao gerou o pedido;14/09/2021 às 01:07;Belo Horizonte - MG;Fiz um pedido hj e como sempre a Uber eats foi rápida em realizar a cobrança, em seguida apareceu uma mensagem dizendo que não deu pra finalizar o pedido,, daí fechei o aplicativo, segundos depois o banco Inter mandou notificação dizendo que a Uber havia feito a cobrança no valor do pedido, abri o aplicativo novamente pra ver o pedido e pra minha surpresa não havia pedido gerado, entrei em contato com o suporte e como toda vez que dá merda eles falam que vai analisar e eu sempre tomo no cu, cá sei desse aplicativo de merda, devolvam meu dinheiro [Editado pelo Reclame Aqui]s, nunca mais vou pedir nada em vocês, o Ifood com todos os defeitos nunca me [Editado pelo Reclame Aqui]u!;Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/nota-fiscal_muKs5WwaUYPXsI3N/;129577403;Nota Fiscal;14/09/2021 às 00:28;São Paulo - SP;"Sabe qual o motivo de vc pagar mais impostos? O motivo é de haver gente que foge aos impostos. E vc paga por eles. Duas vezes. Quando compra e quando recebe o seu salário/venda.

Solicitei a Nota Fiscal e a Uber Eat manda uma coisa em anexo que nem serve de papel higiênico.

Até melhor opinião, a Uber Eat protege. E não venham com a lenga lenga de ser isto ou aquilo. É vossa obrigação cumprir e obrigar a cumprir.

Quero a nota fiscal que tenho direito. com o meu cpf. com tudo.

Obrigado";Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/fiz-um-pedido-pelo-aplicativo-e-nao-entregaram_1BsMLVv9_6efFCeH/;129577091;Fiz um pedido pelo aplicativo e nao entregaram;14/09/2021 às 00:12;Moreno - PE;Realizei um pedido em um estabelecimento ki açaí e eles não entregaram, ainda tiveram a capacidade de marcar o status concluído como se tivessem entregado o pedido. Tentei ligar para o estabelecimento mais o contato não pega e o endereço do estabelecimento não tem nada. Como é que uma plataforma da Uber não averigua os estabelecimentos que se cadastra. O suporte horrível não tem um atendimento imediato só FAQ. Absurdo. Não recomendo essa plataforma para ninguém, pois a segurança é nenhuma.;Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/reembolso_Wt3RRd0wMPL6L9d-/;129576395;REEMBOLSO;13/09/2021 às 23:41;São Paulo - SP;FIZ UM PEDIDO NO DÉBITO, E NA MESMA HORA EU CANCELEI PQ TINHA DESISTIDO. ME COBRARAM R$28,24 e só me reembolsaram R$3,24.;Não respondida;Sem considerações finais;Estorno do valor pago;Problemas Gerais;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobranca-duplicada-e-pedido-nao-recebido_w711F3wqfBdV0_dp/;129576357;Cobranca duplicada e pedido nao recebido;13/09/2021 às 23:39;Rio Preto - MG;"Hoje dia 13 de setembro tive 2 problemas com a plataforma do Uber Eats, realizei a compra de 2 hamburguês no mesmo restaurante em 2 pedidos diferentes, o primeiro no valor de 9,00 chegou com atraso de 10 minutos, no entanto, este já havia sido cobrado e após meia hora do recebimento ele foi cobrado novamente, entrei em contato com o suporte da Uber e atendente me informou que é normal haverem 2 pagamentos, o primeiro sendo uma retenção de pagamento e o segundo o pagamento real é que a primeira cobrança seria removida do meu cartão em até 30 dias pela operadora do cartão, entrei em contato com o meu cartão e o mesmo disse que constam 2 cobranças e que o App da Uber deveria estornar um dos valores pois é responsabilidade dele, meu cartão fecha a fatura amanhã e se não for feito o estorno da fatura vou ter que pagar o valor duplicado, desejo o estorno do valor cobrado em duplicidade, pois caso não seja feito eu terei que pagar o mesmo quando meu cartão fechar no dia de amanhã.
O segundo caso é referente a meu segundo pedido no valor de R$16,00, fiz o pedido ao mesmo restaurante cerca de 5 min após o primeiro, no entanto, não recebi esse pedido, a previsão para recebimento do pedido era 19:30, aguardei até as 20:30 e nada do meu pedido, tentei por várias vezes ligar para o restaurante mas ninguém atendeu, e tentei ainda várias vezes cancelar o pedido ou entrar em contato com o suporte da Uber mas sem sucesso pois em lugar algum aparecia a opção de falar com o suporte e quando clicava em cancelar o pedido nada acontecia, acabei clicando em pedido recebido para ver se conseguia entra em contato com o suporte mas ninguém me retornou até o momento, desejo o estorno da compra pois não recebi o pedido.
Estou extremamente chatiado com essa situação, sem compramos com a Uber e nunca tivemos esse problema.
Desejo o entorno dos 2 valores, o cobrado em duplicidade e o referente ao pedido não recebido até amanhã antes que meu cartão feche e eu precise pagar por algo que não recebi.";Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/cobranca-indevida_mNlf_KQK5vw3l7OX/;129574653;Cobranca indevida;13/09/2021 às 22:51;São Bernardo do Campo - SP;Fiz um pedido ontem, dia 12 de Setembro, depois de 1 minuto eu percebi que o endereço estava incorreto, liguei rapidamente para a Uber eats efetuar o cancelamento antes do estabelecimento começar a preparar o meu pedido, a atendente atendeu dentro de dois minutos, expliquei a situação e ela me pediu pra aguardar e logo em seguida desligou o telefone, daí eu liguei novamente, só que já tinham começado a preparar meu pedido por conta da demora dos atendentes. Fizeram o cancelamento e foi me cobrado o valor integral do pedido, sendo que eu fui super rápida pra efetuar o cancelamento, ou seja, eu não comi e ainda paguei R$49,90 pra Uber de graça!!!!!!! Sempre utilizo o app deles, e agora estou me sentindo [Editado pelo Reclame Aqui]! Muito decepcionada!;Não respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Delivery Alimentação;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/uber-eats/nao-recebi-meu-pedido-e-fui-cobrado_fxb5CN-pPo3tePFk/;129573813;Nao recebi meu pedido e fui cobrado;13/09/2021 às 22:30;Rio de Janeiro - RJ;Fiz um pedido E3625 de uma pizza que veio errada. Assim que o motoboy me apresentou, eu notifiquei o erro e não aceitei o pedido. Cliquei no link de ajuda relatando que o pedido deu errado, mas ele alegou que o motoboy deu como encerrado. Mas como colocam um PIN para validar o pedido, no qual não foi dado e o motoboy alega que encerrou? Enfim, fiquei sem o dinheiro e sem a minha pizza.;Não respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Delivery Alimentação;Não avaliado;Não avaliado
